ID,Frase_PT,Frase_IT,Score
1,1. Voltei para casa depois de um longo dia de trabalho.,1. Sono tornato a casa dopo una lunga giornata di lavoro. ,0
2,2. Preparei um jantar leve com macarrão e legumes.,2. Ho preparato una cena leggera con pasta e verdure.,0
3,3. Assistimos (passado) a um filme divertido com a família.,3. Abbiamo guardato un film divertente insieme alla famiglia.,0
4,"4. Depois do filme, conversamos (no passado) um pouco sobre o dia.","4. Dopo il film, abbiamo parlato un po’ della giornata.",0
5,5. Eu acordo todas as manhãs às sete.,5. Mi sveglio ogni mattina alle sette.,0
6,6. Tomo um café forte para começar o dia.,6. Bevo un caffè forte per iniziare la giornata.,1
7,7. Saio de casa e pego o ônibus para ir ao trabalho.,7. Esco di casa e prendo l’autobus per andare al lavoro.,1
8,"8. No trabalho, verifico os e-mails e planejo as atividades.","8. Al lavoro, controllo le e-mail e pianifico le attività.",0
9,"9. Durante a pausa para o almoço, como um sanduíche no bar.","9. Durante la pausa pranzo, mangio un panino al bar.",0
10,"10. À tarde, participo de reuniões e termino as tarefas.",10. Nel pomeriggio partecipo a riunioni e finisco i compiti.,1
11,"11. Depois do trabalho, faço uma caminhada no parque.","11. Dopo il lavoro, faccio una passeggiata nel parco.",0
12,12. Volto para casa e preparo o jantar com minha esposa.,12. Torno a casa e preparo la cena con mia moglie.,1
13,13. Jantamos juntos e depois lemos um livro.,13. Ceniamo insieme e poi leggiamo un libro.,0
14,14. Tomo um chá de ervas antes de ir dormir.,14. Bevo una tisana prima di andare a dormire.,0
15,15. Muitas vezes sonho em viajar para países distantes.,15. Spesso sogno di viaggiare in paesi lontani.,1
16,16. Levanto da cama e tomo um banho rápido.,16. Mi alzo dal letto e faccio una doccia veloce.,0
17,17. Escolho as roupas e me visto depressa.,17. Scelgo i vestiti e mi vesto in fretta.,0
18,18. Pego a mochila e corro para a parada de ônibus.,18. Prendo lo zaino e corro alla fermata dell'autobus.,0
19,"19. O trem está lotado, mas encontro um lugar para sentar.","19. Il treno è affollato, ma trovo un posto a sedere.",0
20,20. Ouço música enquanto olho para fora da janelinha.,20. Ascolto musica mentre guardo fuori dal finestrino.,0
21,"21. O céu está nublado, mas não chove ainda.","21. Il cielo è nuvoloso, ma non piove ancora.",0
22,22. Chego ao escritório e cumprimento os colegas.,22. Arrivo in ufficio e saluto i colleghi.,0
23,23. Ligo o computador e começo a trabalhar.,23. Accendo il computer e inizio a lavorare.,0
24,24. Atendo telefonemas e escrevo documentos.,24. Rispondo a telefonate e scrivo documenti.,1
25,25. A pausa para o café é um momento para relaxar.,25. La pausa caffè è un momento per rilassarsi.,1
26,26. Conversamos sobre o fim de semana com os colegas.,26. Parliamo del fine settimana con i colleghi.,0
27,27. Volto para a mesa e continuo o trabalho.,27. Ritorno alla scrivania e continuo il lavoro.,0
28,28. Termino um projeto importante antes do fim do dia.,28. Finisco un progetto importante prima di sera.,0
29,29. Despeço-me de todos e deixo o escritório.,29. Saluto tutti e lascio l’ufficio.,0
30,"30. Em casa, cumprimento as crianças que estão brincando.","30. A casa, saluto i bambini che giocano.",1
31,31. Ajudo com as lições de casa e arrumo a mesa.,31. Aiuto con i compiti e preparo la tavola.,0
32,32. Jantamos com risadas e histórias do dia.,32. Ceniamo con risate e racconti della giornata.,0
33,"33. Depois do jantar, assistimos às notícias na TV.","33. Dopo cena, guardiamo le notizie in TV.",0
34,34. Leio um capítulo do meu livro favorito.,34. Leggo un capitolo del mio libro preferito.,0
35,35. Apago as luzes e vou dormir.,35. Spengo le luci e mi metto a dormire.,0
36,36. Acordo com o canto dos pássaros.,36. Mi sveglio con il canto degli uccelli.,0
37,37. Abro a janela para deixar entrar ar fresco.,37. Apro la finestra per far entrare aria fresca.,0
38,38. Preparo o café da manhã para todos.,38. Preparo la colazione per tutti.,1
39,39. Comemos pão torrado com geleia.,39. Mangiamo pane tostato con marmellata.,0
40,40. Bebemos suco de laranja recém-espremido.,40. Beviamo succo d’arancia appena spremuto.,1
41,41. As crianças se vestem para ir à escola.,41. I bambini si vestono per andare a scuola.,-1
42,42. Levo elas até o ponto do ônibus escolar.,42. Li accompagno fino alla fermata dello scuolabus.,0
43,43. Cumprimento os vizinhos ao voltar para casa.,43. Saluto i vicini mentre torno a casa.,-1
44,"44. Hoje trabalho de casa, começo no computador.","44. Oggi lavoro da casa, inizio al computer.",0
45,45. Escrevo um artigo para o blog da empresa.,45. Scrivo un articolo per il blog aziendale.,0
46,46. Faço uma pausa e tomo um café.,46. Faccio una pausa e bevo un caffè.,0
47,47. Ouço um podcast enquanto arrumo a casa.,47. Ascolto un podcast mentre sistemo casa.,0
48,48. Limpo a cozinha e organizo.,48. Pulisco la cucina e metto in ordine.,0
49,49. A máquina de lavar está ligada e gira rápido.,49. La lavatrice è accesa e gira veloce.,0
50,50. Coloco as roupas (lavadas) para secar ao sol.,50. Metto i panni ad asciugare al sole.,0
51,51. Volto ao computador e respondo e-mails.,51. Torno al computer e rispondo alle e-mail.,0
52,52. Almoço com uma salada e um pedaço de pão.,52. Pranzo con un’insalata e un pezzo di pane.,2
53,"53. Depois do almoço, me deito para um breve descanso.","53. Dopo pranzo, mi sdraio per un breve riposo.",0
54,54. Acordo e tomo um copo de água.,54. Mi sveglio e bevo un bicchiere d’acqua.,0
55,55. Continuo trabalhando em um novo projeto.,55. Continuo a lavorare su un nuovo progetto.,0
56,56. Ligo para um colega para discutir uma proposta.,56. Chiamo un collega per discutere una proposta.,0
57,57. Escrevemos juntos um documento de apresentação.,57. Scriviamo insieme un documento di presentazione.,0
58,58. Salvamos o arquivo e o enviamos ao chefe.,58. Salviamo il file e lo inviamo al capo.,-1
59,59. Desligo o computador e me preparo para sair.,59. Spengo il computer e mi preparo a uscire.,0
60,60. Vou ao supermercado fazer compras.,60. Vado al supermercato per fare la spesa.,0
61,"61. Compro frutas, legumes, pão e queijo.","61. Compro frutta, verdura, pane e formaggio.",0
62,62. Passo no caixa e pago com o cartão.,62. Passo alla cassa e pago con la carta.,0
63,63. Cumprimento o caixa e volto para casa.,63. Saluto il cassiere e torno a casa.,0
64,64. Guardo os produtos nos armários e na geladeira.,64. Metto via i prodotti nelle credenze e nel frigo.,0
65,65. Preparo um bolo para o aniversário da minha filha.,65. Preparo una torta per il compleanno di mia figlia.,1
66,66. Decoro a casa com balões e enfeites.,66. Decoro la casa con palloncini e festoni.,0
67,67. Os convidados chegam com presentes e sorrisos.,67. Gli invitati arrivano con regali e sorrisi.,1
68,"68. Cantamos ""Parabéns"" e cortamos o bolo.",68. Cantiamo “Tanti auguri” e tagliamo la torta.,1
69,69. As crianças brincam e se divertem juntas.,69. I bambini giocano e si divertono insieme.,0
70,70. Tiramos fotos de lembrança com toda a família.,70. Scattiamo foto ricordo con tutta la famiglia.,0
71,71. A noite termina com uma história lida para os pequenos.,71. La serata finisce con una storia letta ai piccoli.,0
72,72. Coloco as crianças para dormir com um beijo.,72. Metto i bambini a dormire con un bacio.,0
73,73. Arrumo a cozinha e varro o chão.,73. Sistemo la cucina e spazzo il pavimento.,0
74,74. Me sento no sofá com meu marido.,74. Mi siedo sul divano con mio marito.,0
75,75. Falamos sobre os planos para o fim de semana.,75. Parliamo dei piani per il fine settimana.,0
76,76. Assistimos à previsão do tempo.,76. Guardiamo le previsioni del tempo.,0
77,77. Programamos um passeio fora da cidade.,77. Programmiamo una gita fuori città.,0
78,78. Preparo as mochilas com água e lanche.,78. Preparo gli zaini con acqua e merenda.,1
79,79. Coloco o despertador cedo para amanhã.,79. Metto la sveglia presto per domani.,0
80,80. Fecho os olhos e penso em coisas boas.,80. Chiudo gli occhi e penso alle cose belle.,0
81,81. Durmo profundamente até de manhã.,81. Dormo profondamente fino al mattino.,0
82,82. Me levanto e dou boas-vindas ao novo dia.,82. Mi alzo e saluto il nuovo giorno.,0
83,83. Visto roupas confortáveis para o passeio (excursão).,83. Indosso abiti comodi per l’escursione.,0
84,84. Carregamos o carro e partimos.,84. Carichiamo l’auto e partiamo.,0
85,85. A estrada está livre e a viagem agradável.,85. La strada è libera e il viaggio piacevole.,0
86,86. Ouvimos músicas e cantamos juntos.,86. Ascoltiamo canzoni e cantiamo insieme.,0
87,87. Chegamos ao lago cercado por montanhas.,87. Arriviamo al lago circondato da montagne.,0
88,88. Fazemos uma caminhada pela trilha.,88. Facciamo una passeggiata sul sentiero.,1
89,89. Tiramos fotos da natureza ao nosso redor.,89. Scattiamo foto alla natura intorno a noi.,0
90,90. Paramos para comer à beira da água.,90. Ci fermiamo a mangiare in riva all’acqua.,1
91,91. As crianças brincam com pedras e água.,91. I bambini giocano con le pietre e l’acqua.,0
92,92. Relaxamos na grama olhando as nuvens.,92. Ci rilassiamo sull’erba guardando le nuvole.,-1
93,93. Voltamos para casa com o coração cheio.,93. Torniamo a casa con il cuore pieno.,0
94,94. Conversamos sobre os melhores momentos do dia.,94. Parliamo dei momenti migliori della giornata.,0
95,95. Colocamos tudo em ordem e tomamos banho.,95. Mettiamo tutto in ordine e ci facciamo la doccia.,-1
96,96. Preparo um jantar rápido com o que tem.,96. Preparo una cena veloce con quello che c’è.,0
97,97. Tomamos um chá de ervas e contamos histórias.,97. Beviamo una tisana e raccontiamo storie.,0
98,98. As crianças desenham os momentos preferidos.,98. I bambini disegnano i momenti preferiti.,0
